대출 종류,상품이름,url,조건,개설 채널,대출 금액
신용대출,KB 직장인든든 신용대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000159&QSL=F,직장인이라면,스타뱅킹,최고 3억원
신용대출,KB 직장인든든 신용대출(공무원/교직원),https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000160&QSL=F,정규직 공무원/교직원이라면,스타뱅킹,최고 3억원
신용대출,KB 직장인든든 신용대출(금융인),https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000161&QSL=F,금융인을 위한,스타뱅킹,최고 3억원
신용대출,KB 직장인든든 신용대출(군인),https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000162&QSL=F,군인 고객님을 위한,스타뱅킹,최고 3억원
신용대출,KB 온국민 신용대출(신규),https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001347&QSL=F,근로소득이 발생되는 국민 누구나!,스타뱅킹,최고 3.5억원
신용대출,KB 비상금대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001319&QSL=F,비대면으로 간편하게 신청하고 바로 사용하는!,스타뱅킹,최고 3백만원
신용대출,KB 새희망홀씨Ⅱ,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000029&QSL=F,서민층 긴급자금을 지원하는,스타뱅킹,최고 35백만원
신용대출,KB새희망홀씨 긴급생계자금,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000067&QSL=F,새희망홀씨 성실상환고객에게,영업점,최고 5백만원
신용대출,KB 국민ONE대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000066&QSL=F,우수고객님은 대출도 ONE샷!,스타뱅킹,최고 2천만원
신용대출,KB STAR CLUB 신용대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001158&QSL=F,KB STAR CLUB 고객을 위한 우수고객 전용 상품,스타뱅킹,최고 2.5억원
신용대출,KB 온국민 신용대출(갈아타기),https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001334&QSL=F,근로소득이 발생되는 국민 누구나!,스타뱅킹,최고 3.5억원
신용대출,KB i-star 직장인 신용대출(본부승인대출),https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000063&QSL=F,선정된 우량업체 소속 임직원을 위한,스타뱅킹,최고 업체별 승인한도 이내
신용대출,KB나라사랑대출(일반자금),https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000114&QSL=F,,영업점,최고 국가보훈부 추천금액
신용대출,KB 4대연금 신용대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000255&QSL=F,4대연금(국민/군인/사학/공무원연금) 수급자라면,영업점,최고 1억원
신용대출,KB 햇살론15 Ⅱ NEW,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001381&QSL=F,NEW,영업점,최고 14백만원이내
신용대출,KB 제휴 대환 신용대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001321&QSL=F,씨티은행 개인 신용대출 보유 고객이라면!!,스타뱅킹,"최고 한국씨티은행 개인신용대출 대출잔액 그대로"
신용대출,KB 공무원우대대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000021&QSL=F,"퇴직금, 재직기간따라 한도 조정",스타뱅킹,최고 5천만원
신용대출,KB 급여이체신용대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000030&QSL=F,KB로 급여 받으면 우대받는,영업점,최고 1억5천만원
신용대출,신용대출 장기분할상환 전환제도,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000134&QSL=F,,영업점,최고 전환대출 신청시점의 대출잔액
신용대출,KB 사업자든든 신용대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001296&QSL=F,자영업자 및 프리랜서 고객님들의 생활안정을 위한,스타뱅킹,최고 1억원
신용대출,"군인생활안정자금대출 (KB i-STAR 군인생활안정자금대출)",https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000020&QSL=F,나라를 지키는 당신을 위한,스타뱅킹,최고 8천만원
신용대출,KB 군인연금 협약대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000154&QSL=F,군인이면 누구나,영업점,최고 2억원
신용대출,KB Star 신용대출[2021.08.30 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000149&QSL=F,복잡한 우대금리·중도상환수수료 NO,영업점,최고 3억원
신용대출,KB닥터론,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000001&QSL=F,의료인을 위한 맞춤 대출,영업점,최고 4억원
신용대출,KB 햇살론17[2021.07.06 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000157&QSL=F,고금리대출의 대안상품,영업점,최고 1천4백만원
신용대출,공무원 연금수급권자 신용대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000095&QSL=F,퇴직 공무원(군무원)을 위한,영업점,최고 3천만원
신용대출,KB 브릿지보증대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001314&QSL=F,,영업점,최고 신용보증재단 「브릿지보증서」보증금액 범위 내
신용대출,에이스(ACE) 전문직 무보증대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000022&QSL=F,전문직 종사자는 무보증으로,영업점,최고 3억원
신용대출,Liiv M 폰 드림 대출[2022.04.29 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001303&QSL=F,Liiv M 개통 고객의 단말기 구매지원을 위한 신용대출 상품,영업점,최고 3백만원
신용대출,KB 선생님든든 신용대출(교직원),https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000106&QSL=F,재직중인 교직원을 위한,영업점,최고 3억원
신용대출,KB 내맘대로 마이너스 통장,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000165&QSL=F,판매중단 상품,영업점,최고 1억원
신용대출,KB군인든든 신용대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN02000004&QSL=F,직업군인을 위한 맞춤 신용대출,영업점,최고 2억원
신용대출,KT 관련 재직직원에 대한 대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000017&QSL=F,"KT,KT DS,KT CLOUD 재직중인 직원 대상",영업점,최고 2억원
신용대출,KB 금융전문인 우대대출[2019.09.27 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000055&QSL=F,판매중단 상품,영업점,최고 1억5천만원
신용대출,KB 처음EASY 신용대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001318&QSL=F,"사회초년생, 주부 등을 위한",영업점,"최고 1,000만원"
신용대출,KB 사잇돌 중금리대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000075&QSL=F,서민층 생활안정 중금리대출,영업점,최고 2천만원
신용대출,KB 행복드림론 Ⅱ(i-STAR 행복드림론 Ⅱ-자영업자),https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000068&QSL=F,"자영업자,프리랜서라면 이 상품",영업점,최고 1천만원
신용대출,KB로이어론,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000308&QSL=F,법조인을 위한 맞춤 대출,영업점,최고 4억원
신용대출,KB 국민희망대출[2023.02.03. 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000062&QSL=F,제2금융권 대출자에 희망주는,영업점,최고 5천만원
신용대출,KB i-STAR 직장인행복신용대출[2019.02.27 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000070&QSL=F,판매중단 상품,영업점,최고 3천만원
신용대출,휴·폐업 개인사업자 신용대출의 가계장기분할상환 전환제도,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000133&QSL=F,,영업점,최고 전환대출 신청시점의 대출잔액 범위 이내
신용대출,KB 햇살론15 [2024.06.30. 판매중단],https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001304&QSL=F,고금리대출의 대안상품,영업점,최고 2천만원이내
신용대출,KB 국민희망대출(제2금융권대환),https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001336&QSL=F,제2금융권 신용대출 대환 전용 상품,영업점,최고 1억원
신용대출,서울특별시 노원구 협약대출,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000151&QSL=F,확정금리 2.0% 제공~!,영업점,최고 3천만원
