보험 종류,링크 텍스트,링크 URL
자동차/운전자,KB자동차보험,https://www.kbinsure.co.kr/CG301010012.ec
자동차/운전자,첨단안전장치 장착특약,https://www.kbinsure.co.kr/CG301100001.ec
자동차/운전자,커넥티드카 안전운전 할인 특약,https://www.kbinsure.co.kr/CG301110001.ec
자동차/운전자,커넥티드카 할인특약,https://www.kbinsure.co.kr/CG301120001.ec
자동차/운전자,티맵 안전운전 할인 특약,https://www.kbinsure.co.kr/CG301090001.ec
자동차/운전자,대중교통 이용 할인 특약,https://www.kbinsure.co.kr/CG301060001.ec
자동차/운전자,전기자동차 보험,https://www.kbinsure.co.kr/CG301080001.ec
자동차/운전자,자녀할인특약,https://www.kbinsure.co.kr/CG301070001.ec
자동차/운전자,KB 플러스 운전자상해보험,https://www.kbinsure.co.kr/CG301040001.ec
다이렉트,다이렉트개인소유자동차보험,https://www.kbinsure.co.kr/CG308010001.ec
다이렉트,다이렉트법인소유자동차보험,https://www.kbinsure.co.kr/CG308120001.ec
다이렉트,다이렉트운전자보험(3년이상),https://www.kbinsure.co.kr/CG308020001.ec
다이렉트,운전자+자전거보험(1~3년),https://www.kbinsure.co.kr/CG308110001.ec
다이렉트,하루운전자보험(1~7일),https://www.kbinsure.co.kr/CG308210001.ec
다이렉트,다이렉트이륜차(개인),https://www.kbinsure.co.kr/CG308160001.ec
다이렉트,다이렉트이륜차(법인),https://www.kbinsure.co.kr/CG308170001.ec
다이렉트,다이렉트자녀보험(태아포함),https://www.kbinsure.co.kr/CG308140001.ec
다이렉트,다이렉트실손의료비보험,https://www.kbinsure.co.kr/CG308070001.ec
다이렉트,다이렉트간편가입실손의료비보험,https://www.kbinsure.co.kr/CG308220001.ec
다이렉트,다이렉트헬스케어암건강,https://www.kbinsure.co.kr/CG308150001.ec
다이렉트,다이렉트간편건강보험,https://www.kbinsure.co.kr/CG308250001.ec
다이렉트,해외여행보험(다이렉트플랜),https://www.kbinsure.co.kr/CG308080001.ec
다이렉트,해외장기체류(유학출장)보험,https://www.kbinsure.co.kr/CG308040001.ec
다이렉트,다이렉트치아보험,https://www.kbinsure.co.kr/CG308090001.ec
다이렉트,다이렉트주택화재보험,https://www.kbinsure.co.kr/CG308100001.ec
다이렉트,다이렉트골프보험,https://www.kbinsure.co.kr/CG308240001.ec
다이렉트,소상공인 풍수해·지진재해보험,https://www.kbinsure.co.kr/CG308200001.ec
다이렉트,다이렉트연금보험,https://www.kbinsure.co.kr/CG308030001.ec
자녀/건강/상해,KB 9회주는 암보험Plus,https://www.kbinsure.co.kr/CG302260001.ec
자녀/건강/상해,KB The건강한 치아보험,https://www.kbinsure.co.kr/CG302130001.ec
자녀/건강/상해,KB Yes!365 건강보험(연만기),https://www.kbinsure.co.kr/CG302230001.ec
자녀/건강/상해,KB Yes!365 건강보험(세만기),https://www.kbinsure.co.kr/CG302120001.ec
자녀/건강/상해,KB금쪽같은자녀보험Plus,https://www.kbinsure.co.kr/CG302010001.ec
자녀/건강/상해,KB 손보 실손의료비보장보험,https://www.kbinsure.co.kr/CG302090001.ec
자녀/건강/상해,KB손보간편가입실손의료비보장보험,https://www.kbinsure.co.kr/CG302250001.ec
자녀/건강/상해,KB 5.10.10 플러스 건강보험,https://www.kbinsure.co.kr/CG302290001.ec
자녀/건강/상해,KB 3.3.5 슬기로운 간편건강보험Plus,https://www.kbinsure.co.kr/CG302300001.ec
자녀/건강/상해,KB 3.5.5 오! 슬기로운 간편건강보험Plus,https://www.kbinsure.co.kr/CG302310001.ec
연금/저축,KB멀티플러스연금보험,https://www.kbinsure.co.kr/CG303010001.ec
연금/저축,KB빅플러스저축보험,https://www.kbinsure.co.kr/CG303020001.ec
노후/간병,KB 손보 노후실손의료비보장보험,https://www.kbinsure.co.kr/CG306040001.ec
화재,KB홈앤비즈케어종합보험,https://www.kbinsure.co.kr/CG305020001.ec
화재,KB주택화재보험,https://www.kbinsure.co.kr/CG305030001.ec
화재,주택·온실 풍수해·지진재해보험Ⅰ,https://www.kbinsure.co.kr/CG305060001.ec
펫,KB 금쪽같은 펫보험(강아지),https://www.kbinsure.co.kr/CG313010001.ec
펫,KB 금쪽같은 펫보험(고양이),https://www.kbinsure.co.kr/CG313020001.ec
