ID,Name,Content,Page_URL,Image_URL,Category
1,첵첵 체크카드(마루는강쥐),마루와 함께 혜택도 첵첵!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01760,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01760_img.png,할인
2,트래블러스 체크카드,여행이 일상인 프로여행러라면,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09562,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09562_img.png,할인
3,트래블러스 체크카드(토심이),여행이 일상인 프로여행러라면,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09564,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09564_img.png,할인
4,토심이 첵첵 체크카드,줄 서서 발급하는 혜택 맛집!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=07960,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/07960_img.png,할인
5,노리2 체크카드(KB Pay),국민 대표 체크카드 시즌2 개막,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=07964,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/07964_img.png,할인
6,노리2 체크카드(Global),국민 대표 체크카드 시즌2 개막,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=07972,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/07972_img.png,할인
7,노리2 체크카드(Play),국민 대표 체크카드 시즌2 개막,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=07986,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/07986_img.png,할인
8,우리동네 체크카드(키뮤),다 같이 돌자 동네 한 바퀴,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09652,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09652_img.png,할인
9,우리동네 체크카드,다 같이 돌자 동네 한 바퀴,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09644,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09644_img.png,할인
10,위글위글 첵첵 체크카드,줄 서서 발급하는 혜택 맛집!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01918,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01918_img.png,할인
11,첵첵 체크카드,줄 서서 발급하는 혜택 맛집!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01914,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01914_img.png,할인
12,노리 체크카드,교통/통신 할인부터 커피숍과 영화관까지. 당신이 가는 곳곳마다 놀라운 할인 혜택!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01664,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01664_img.png,할인
13,청춘대로 싱글 체크카드,내 삶에 필요한 다양한 할인 혜택!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01988,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01988_img.png,할인
14,K-패스체크카드,교통비 SAVE!! 생활서비스 이용 시 포인트리 적립 혜택 까지~,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09322,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09322_img.png,적립
15,카카오페이 KB국민 체크카드,카카오페이 X KB국민카드가 꿈꾸는 행복한 만남,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01782,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01782_img.png,적립
